FinalID,MaxTol,SAFIT1,SAFIT2,Class,Order,FunctionalFeedingGroup,subfamily,CustomSTE
Ametropus,NA,Ametropus,Ametropus,Insecta,Ephemeroptera,CG,,Ametropus
Ametropus ammophilus,NA,Ametropus ammophilus,Ametropus ammophilus,Insecta,Ephemeroptera,CG,,Ametropus ammophilus
Amiocentrus,3,Amiocentrus,Amiocentrus,Insecta,Trichoptera,CG,,Amiocentrus
Amiocentrus aspilus,3,Amiocentrus aspilus,Amiocentrus aspilus,Insecta,Trichoptera,CG,,Amiocentrus aspilus
Amnicola,5,Amnicola,Amnicola,Gastropoda,Hypsogastropoda,SC,,Amnicola
Amnicola limosa,5,Amnicola,Amnicola,Gastropoda,Hypsogastropoda,SC,,Amnicola
Amnicolidae,5,Amnicolidae,Amnicolidae,Gastropoda,Hypsogastropoda,SC,,Amnicolidae
Amphiagrion,5,Amphiagrion,Amphiagrion,Insecta,Odonata,P,,Amphiagrion
Amphiagrion abbreviatum,5,Amphiagrion,Amphiagrion,Insecta,Odonata,P,,Amphiagrion
Amphicosmoecus,1,Amphicosmoecus,Amphicosmoecus,Insecta,Trichoptera,SH,,Amphicosmoecus
Amphicosmoecus canax,1,Amphicosmoecus canax,Amphicosmoecus canax,Insecta,Trichoptera,SH,,Amphicosmoecus canax
Amphinemura,2,Amphinemura,Amphinemura,Insecta,Plecoptera,SH,,Amphinemura
Amphinemura apache,2,Amphinemura,Amphinemura,Insecta,Plecoptera,SH,,Amphinemura
Amphinemura mogollonica,2,Amphinemura,Amphinemura,Insecta,Plecoptera,SH,,Amphinemura
Amphinemura venusta,2,Amphinemura,Amphinemura,Insecta,Plecoptera,SH,,Amphinemura
Amphipoda,4,Amphipoda,Amphipoda,Malacostraca,Amphipoda,CG,,Amphipoda
Amphizoa,1,Amphizoa,Amphizoa,Insecta,Coleoptera,P,,Amphizoa
Amphizoa insolens,1,Amphizoa,Amphizoa,Insecta,Coleoptera,P,,Amphizoa
Amphizoa lecontei,1,Amphizoa,Amphizoa,Insecta,Coleoptera,P,,Amphizoa
Amphizoa striata,1,Amphizoa,Amphizoa,Insecta,Coleoptera,P,,Amphizoa
Amphizoidae,1,Amphizoidae,Amphizoidae,Insecta,Coleoptera,P,,Amphizoidae
Ampumixis,4,Ampumixis,Ampumixis,Insecta,Coleoptera,CG,,Ampumixis
Ampumixis dispar,4,Ampumixis dispar,Ampumixis dispar,Insecta,Coleoptera,CG,,Ampumixis dispar
Anabolia,4,Anabolia,Anabolia,Insecta,Trichoptera,SH,,Anabolia
Anabolia bimaculata,4,Anabolia bimaculata,Anabolia bimaculata,Insecta,Trichoptera,SH,,Anabolia bimaculata
Anacaena,5,Anacaena,Anacaena,Insecta,Coleoptera,CG,,Anacaena
Anacaena,5,Anacaena,Anacaena,Insecta,Coleoptera,P,,Anacaena
Anacaena limbata,5,Anacaena,Anacaena,Insecta,Coleoptera,P,,Anacaena
Anacaena limbata,5,Anacaena,Anacaena,Insecta,Coleoptera,CG,,Anacaena
Anacaena signaticollis,5,Anacaena,Anacaena,Insecta,Coleoptera,P,,Anacaena
Anacaena signaticollis,5,Anacaena,Anacaena,Insecta,Coleoptera,CG,,Anacaena
Anacroneuria,4,Anacroneuria,Anacroneuria,Insecta,Plecoptera,P,,Anacroneuria
Anacroneuria wipukupa,4,Anacroneuria,Anacroneuria wipukupa,Insecta,Plecoptera,P,,Anacroneuria
Anagapetus,0,Anagapetus,Anagapetus,Insecta,Trichoptera,SC,,Anagapetus
Anagapetus aisha,0,Anagapetus,Anagapetus,Insecta,Trichoptera,SC,,Anagapetus
Anagapetus bernea,0,Anagapetus,Anagapetus,Insecta,Trichoptera,SC,,Anagapetus
Anagapetus chandleri,0,Anagapetus,Anagapetus,Insecta,Trichoptera,SC,,Anagapetus
Anagapetus debilis,0,Anagapetus,Anagapetus,Insecta,Trichoptera,SC,,Anagapetus
Anagapetus hoodi,0,Anagapetus,Anagapetus,Insecta,Trichoptera,SC,,Anagapetus
Anax,8,Anax,Anax,Insecta,Odonata,P,,Anax
Anax junius,8,Anax,Anax,Insecta,Odonata,P,,Anax
Anax walsinghami,8,Anax,Anax,Insecta,Odonata,P,,Anax
Anchycteis,NA,Anchycteis,Anchycteis,Insecta,Coleoptera,SH,,Anchycteis
Anchycteis velutina,NA,Anchycteis velutina,Anchycteis velutina,Insecta,Coleoptera,SH,,Anchycteis velutina
Ancylidae,6,Ancylidae,Ancylidae,Gastropoda,Basommatophora,SC,,Ancylidae
Anisitsiellidae,5,Anisitsiellidae,Anisitsiellidae,Arachnida,Trombidiformes,P,,Anisitsiellidae
Anisogammaridae,4,Anisogammaridae,Anisogammaridae,Malacostraca,Amphipoda,CG,,Anisogammaridae
Annelida,NA,Annelida,Annelida,,,CG,,Annelida
Anodonta,8,Anodonta,Anodonta,Bivalvia,Unionoida,CF,,Anodonta
Anodonta californiensis,8,Anodonta,Anodonta,Bivalvia,Unionoida,CF,,Anodonta
Anodonta couperiana,8,Anodonta,Anodonta,Bivalvia,Unionoida,CF,,Anodonta
Anodonta dejecta,NA,Anodonta,Anodonta,Bivalvia,Unionoida,CF,,Anodonta
Anodonta kennerlyi,NA,Anodonta,Anodonta,Bivalvia,Unionoida,CF,,Anodonta
Anodonta nuttalliana,NA,Anodonta,Anodonta,Bivalvia,Unionoida,CF,,Anodonta
Anodonta oregonense,8,Anodonta,Anodonta,Bivalvia,Unionoida,CF,,Anodonta
Anopheles,8,Anopheles,Anopheles,Insecta,Diptera,CG,,Anopheles
Anopheles franciscanus,8,Anopheles,Anopheles,Insecta,Diptera,CG,,Anopheles
Anopheles freeborni,8,Anopheles,Anopheles,Insecta,Diptera,CG,,Anopheles
Anopheles hermsi,8,Anopheles,Anopheles,Insecta,Diptera,CG,,Anopheles
Anopheles judithae,8,Anopheles,Anopheles,Insecta,Diptera,CG,,Anopheles
Anopheles occidentalis,8,Anopheles,Anopheles,Insecta,Diptera,CG,,Anopheles
Anopheles punctipennis,8,Anopheles,Anopheles,Insecta,Diptera,CG,,Anopheles
Antichaeta,6,Antichaeta,Antichaeta,Insecta,Diptera,P,,Antichaeta
Antocha,3,Antocha,Antocha,Insecta,Diptera,CG,Limoniinae,Antocha
Antocha monticola,3,Antocha,Antocha,Insecta,Diptera,CG,Limoniinae,Antocha
Apanisagrion,9,Apanisagrion,Apanisagrion,Insecta,Odonata,P,,Apanisagrion
Apanisagrion lais,9,Apanisagrion lais,Apanisagrion lais,Insecta,Odonata,P,,Apanisagrion lais
Apatania,1,Apatania,Apatania,Insecta,Trichoptera,SC,,Apatania
Apatania arizona,1,Apatania,Apatania,Insecta,Trichoptera,SC,,Apatania
Apatania chasica,1,Apatania,Apatania,Insecta,Trichoptera,SC,,Apatania
Apatania sorex,1,Apatania,Apatania,Insecta,Trichoptera,SC,,Apatania
Apatania tavala,1,Apatania,Apatania,Insecta,Trichoptera,SC,,Apatania
